cust_id,kabupaten,provinces_name,is_bad_cust,first_bu,second_bu,first_lob,second_lob,first_asset_price,second_asset_price,first_asset_year,second_asset_year,first_go_live_date,second_go_live_date,cust_gender,cust_job,cust_age
custid_001, MEDAN,SUMATERA UTARA,0,BU_A,BU_A,NCF,NCF,223000000,223000000,2018,2018,2018-02-26 17:00:00,2018-02-26 17:00:00,MALE,PENGUSAHA,43
custid_002, MAJALENGKA,JAWA BARAT,0,BU_A,BU_A,NCF,NCF,235000000,235000000,2018,2018,2018-08-19 17:00:00,2018-08-19 17:00:00,MALE,PENGUSAHA,21
custid_003, JAKARTA BARAT,DKI JAKARTA,0,BU_A,BU_A,NCF,NCF,210000000,210000000,2018,2018,2018-03-26 17:00:00,2018-03-26 17:00:00,FEMALE,PENGUSAHA,37
custid_004, BANYUWANGI,JAWA TIMUR,1,BU_A,BU_A,NCF,NCF,210000000,210000000,2018,2018,2018-06-07 17:00:00,2018-06-07 17:00:00,FEMALE,PENGUSAHA,29
custid_005, CIMAHI,JAWA BARAT,0,BU_A,BU_A,NCF,NCF,217000000,217000000,2018,2018,2018-06-01 17:00:00,2018-06-01 17:00:00,FEMALE,PENGUSAHA,45
custid_006, MALANG,JAWA TIMUR,1,BU_A,BU_A,NCF,NCF,236000000,236000000,2018,2018,2018-04-29 17:00:00,2018-04-29 17:00:00,FEMALE,PENGUSAHA,47
custid_007, BANDUNG,JAWA BARAT,0,BU_A,BU_A,NCF,NCF,210000000,210000000,2019,2019,2019-05-28 17:00:00,2019-05-28 17:00:00,FEMALE,PENGUSAHA,48
custid_008, PANDEGLANG,BANTEN,1,BU_B,BU_B,NCF,NCF,211000000,209000000,2018,2021,2018-07-01 17:00:00,2021-11-16 17:00:00,FEMALE,PENGUSAHA,47
custid_009, BONTANG,KALIMANTAN TIMUR,1,BU_B,BU_B,NCF,NCF,225000000,229000000,2019,2019,2019-06-11 17:00:00,2020-03-03 17:00:00,MALE,PENGUSAHA,25
custid_010, JEMBER,JAWA TIMUR,0,BU_B,BU_B,NCF,NCF,203000000,217000000,2019,2021,2019-09-12 17:00:00,2021-03-24 17:00:00,MALE,PENGUSAHA,46
custid_011, CIMAHI,JAWA BARAT,0,BU_B,BU_B,NCF,NCF,227000000,224000000,2017,2019,2018-01-03 17:00:00,2020-01-03 17:00:00,MALE,PENGUSAHA,25
custid_012, MANDAILING NATAL,SUMATERA UTARA,0,BU_B,BU_A,NCF,NCF,200000000,243000000,2017,2019,2018-01-01 17:00:00,2019-10-30 17:00:00,FEMALE,PENGUSAHA,44
custid_013, JAKARTA TIMUR,DKI JAKARTA,0,BU_B,BU_B,NCF,NCF,237000000,237000000,2018,2018,2018-09-18 17:00:00,2018-09-19 17:00:00,MALE,PENGUSAHA,40
custid_014, JAKARTA TIMUR,DKI JAKARTA,0,BU_B,BU_B,NCF,NCF,220000000,194000000,2018,2021,2018-04-11 17:00:00,2021-12-15 17:00:00,FEMALE,PENGUSAHA,22
custid_015, BANDUNG,JAWA BARAT,0,BU_B,BU_B,NCF,NCF,217000000,237000000,2018,2019,2018-10-15 17:00:00,2019-02-18 17:00:00,MALE,PENGUSAHA,38
